method,policy,checkpoint,repeat,average_query_shots,low_shots,high_shots,offline_quantum_shots,weight_low,weight_high,mae_F_e,rmse_F_e,bias_F_e,pearson
adaptive_dfe,random,bidir_seed0,1,64,32,96,0,,,0.07064917495057833,0.0909286355838479,-0.0007970063828877987,0.9093906534541738
adaptive_hybrid,width,bidir_seed0,1,64,32,96,8192,0.25473677251754295,0.7772926083499854,0.05371634000324072,0.07215210702523948,0.006872909824100967,0.9331066633033904
adaptive_dfe,width,bidir_seed0,1,64,32,96,0,,,0.07230356805366538,0.09432632027743154,0.0029128977176413016,0.9045866369885731
adaptive_hybrid,disagreement,bidir_seed0,1,64,32,96,8192,0.6123411106503153,0.5672403068974736,0.05829274434703076,0.07411121521671186,0.005571772460185615,0.927782265760653
adaptive_dfe,disagreement,bidir_seed0,1,64,32,96,0,,,0.06974384921514207,0.08952322621133543,0.001770991302297386,0.9100070144253403
adaptive_hybrid,combined,bidir_seed0,1,64,32,96,8192,0.24369818276059105,0.757442441732954,0.05131750916489909,0.06671608737051331,0.0010138507750869002,0.942423854433096
adaptive_dfe,combined,bidir_seed0,1,64,32,96,0,,,0.06981161793708683,0.08945121402986722,0.0024375339610275453,0.9131690521451484
fixed_hybrid,fixed,bidir_seed0,2,32,32,32,6144,0.39008692359343927,0.39008692359343927,0.06819680911299537,0.08566610924280295,0.010625327954440829,0.9120014285154293
fixed_dfe,fixed,bidir_seed0,2,32,32,32,0,,,0.09065171526116689,0.11349043992740163,0.00017955611711220135,0.8690880969696396
adaptive_hybrid,random,bidir_seed0,2,32,16,48,6144,0.3124029464496004,0.509219651467016,0.06857602215845605,0.08706614279263397,0.010635141648772732,0.9056685626022383
adaptive_dfe,random,bidir_seed0,2,32,16,48,0,,,0.10121542194528041,0.1315148303086763,0.0003190650456836282,0.8361795417414267
adaptive_hybrid,width,bidir_seed0,2,32,16,48,6144,0.08418582735835116,0.6921820343253764,0.07367216681835148,0.09319312336976439,0.002677312103764179,0.8902331194704778
adaptive_dfe,width,bidir_seed0,2,32,16,48,0,,,0.10138238248816894,0.13066866869376195,0.00048440896102754246,0.8353026112253685
adaptive_hybrid,disagreement,bidir_seed0,2,32,16,48,6144,0.22230660121264134,0.49148190059090385,0.06913082788922756,0.0863978550269533,0.00968071095763951,0.911216471854398
adaptive_dfe,disagreement,bidir_seed0,2,32,16,48,0,,,0.08997680020836434,0.11413613889526854,0.0019518362097047921,0.8581622238767916
adaptive_hybrid,combined,bidir_seed0,2,32,16,48,6144,0.0982737857936103,0.532440063247633,0.07214939526185578,0.08879375370679211,0.0032901259517780453,0.9083198878458331
adaptive_dfe,combined,bidir_seed0,2,32,16,48,0,,,0.09868220105168543,0.12557433730358294,-0.0014480480495544688,0.8379649194420854
fixed_hybrid,fixed,bidir_seed0,2,64,64,64,8192,0.6850853984390648,0.6850853984390648,0.05394712907488615,0.06737188704701547,0.005057944456446184,0.9414948403978911
fixed_dfe,fixed,bidir_seed0,2,64,64,64,0,,,0.06438720849202206,0.08108669789687656,-0.0005722419979671637,0.9250577344085971
fixed_dfe,fixed,bidir_seed0,2,128,128,128,0,,,0.045280473628303126,0.057049118771483984,0.0002958135575883918,0.9609347795016141
adaptive_hybrid,random,bidir_seed0,2,64,32,96,8192,0.5364804971402948,0.5616330700405323,0.059344003210746704,0.07448370389141012,0.0073560867698114684,0.9314025143210352
adaptive_dfe,random,bidir_seed0,2,64,32,96,0,,,0.07017418184248661,0.09189745779255283,-0.0007608374014063177,0.9065080780515269
adaptive_hybrid,width,bidir_seed0,2,64,32,96,8192,0.46147631231084296,0.6803285751127218,0.057297951665954104,0.07259437738669632,0.00451388133664316,0.9348379883761575
adaptive_dfe,width,bidir_seed0,2,64,32,96,0,,,0.07204773601775288,0.09341821511878817,0.00011238515150373527,0.9050028721885763
adaptive_hybrid,disagreement,bidir_seed0,2,64,32,96,8192,0.570741744811138,0.6211354636177523,0.05803718919113158,0.07324811805833693,0.006847368571868056,0.9332555979002782
adaptive_dfe,disagreement,bidir_seed0,2,64,32,96,0,,,0.06857115951756006,0.08850464327130468,0.000525744939863524,0.9085321844273703
adaptive_hybrid,combined,bidir_seed0,2,64,32,96,8192,0.5057156683890491,0.6389395664547269,0.056212106797973026,0.07079416674101917,0.0045054229417305245,0.9382111538626182
adaptive_dfe,combined,bidir_seed0,2,64,32,96,0,,,0.0688799657124691,0.08887767413340159,-0.0007246684199248363,0.9120569272620819
