base_index,length,fidelity_min,fidelity_max,ambiguity_diameter,minimax_abs_lower_bound,bayes_mae_lower_bound,exact_marginal_fidelity,exact_composition_grid_mae,fraction_grid_error_above_0p05
147,16,0.5816168087681943,0.7020762434913159,0.1204594347231216,0.0602297173615608,0.03209486133710911,0.917739561733472,0.27210334939841757,1.0
148,24,0.4879231468614297,0.5920354069783897,0.10411226011696006,0.05205613005848003,0.02115394763806407,0.8178105718542423,0.30584104215491287,1.0
149,24,0.5176622554171966,0.6455892397153868,0.12792698429819027,0.06396349214909514,0.025663319022918206,0.8188785390621343,0.2723986161955764,1.0
150,16,0.5029525130634387,0.5350247241691375,0.0320722111056988,0.0160361055528494,0.008188030798891322,0.8346553802630662,0.3216055820353449,1.0
151,16,0.48457048030789884,0.5976806677494946,0.11311018744159573,0.05655509372079787,0.030529265734689552,0.8724094764616196,0.3310804988190056,1.0
152,8,0.7919249329524294,0.8392472570956575,0.04732232414322812,0.02366116207161406,0.012595734831566544,0.9516998477411368,0.1349525455046138,1.0
153,16,0.5042830169358108,0.5542360502548864,0.049953033319075635,0.024976516659537817,0.014117582919207165,0.8416429340815658,0.31906716745610014,1.0
154,8,0.7724521611906743,0.8281109313597544,0.05565877016908016,0.02782938508454008,0.014805656241728657,0.951094667414763,0.14923793094574728,1.0
155,16,0.5275128414435051,0.5980545441987113,0.07054170275520621,0.03527085137760311,0.019475300812186593,0.8705671571977247,0.3118439080417149,1.0
156,8,0.6493794142146808,0.7365075712124267,0.0871281569977459,0.04356407849887295,0.023176492157590767,0.9297864623751959,0.23437692167508428,1.0
157,8,0.69237404278907,0.7644184364845583,0.07204439369548832,0.03602219684774416,0.01916834316781999,0.9313626265046149,0.2010269095903428,1.0
158,16,0.4964051116857686,0.5902387791832009,0.09383366749743227,0.046916833748716136,0.025415589371398532,0.8729521699103602,0.3309375830038128,1.0
159,8,0.70986984591798,0.7780006348040658,0.06813078888608581,0.03406539444304291,0.018129509332993798,0.9323858485419076,0.18667023442177905,1.0
160,16,0.46760271811014836,0.5595847604086324,0.091982042298484,0.045991021149242,0.02508454293267381,0.860878023226505,0.34991401001697053,1.0
161,24,0.47659334213654697,0.6678438099500126,0.1912504678134656,0.0956252339067328,0.04444435993255823,0.7800841951230358,0.2538666218663124,1.0
162,24,0.5191467785576466,0.622514681582863,0.10336790302521648,0.05168395151260824,0.02007556633388173,0.8383102985190924,0.2957771017708581,1.0
163,8,0.7901726784168286,0.844236657280863,0.05406397886403436,0.02703198943201718,0.014379712021674021,0.9587069994109148,0.13994684525559845,1.0
164,16,0.4912061990137452,0.6017653117352914,0.11055911272154617,0.055279556360773086,0.02976620189566988,0.8849007555346702,0.33809824616579703,1.0
165,16,0.4846674687874635,0.5957025681331204,0.11103509934565692,0.05551754967282846,0.029838838738473393,0.8782639798677339,0.3373841621379029,1.0
166,16,0.5427498754162614,0.5991383439607716,0.056388468544510184,0.028194234272255092,0.015680619180543056,0.8653240296130206,0.2990228669394656,1.0
167,24,0.5328246196492993,0.5856636821169667,0.05283906246766745,0.026419531233833726,0.013612476730325758,0.864605942894929,0.31411818176389567,1.0
168,16,0.6157527568384829,0.6985843340751752,0.08283157723669232,0.04141578861834616,0.022307122590746097,0.9072011180477441,0.24986981232857278,1.0
169,8,0.6950449614893855,0.7672639597132594,0.0722189982238739,0.03610949911193695,0.01921906925893311,0.9347764489408386,0.20175974548528836,1.0
170,16,0.4998013570415115,0.5742446858051918,0.07444332876368032,0.03722166438184016,0.020544294090275896,0.8611738861970732,0.3283046551972189,1.0
